Name,stars,score,price
"Radisson Blu Hotel, Beirut Verdun",5,8.8,123
Ramada by Wyndham Downtown Beirut,4,9.0,112
Orient Queen Homes Hotel,4,7.3,71
Sodeco Suites,4,8.9,120
The Parisian Hotel,4,8.6,81
Sofitel Beirut Le Gabriel,5,8.5,180
"InterContinental Phoenicia Beirut, an IHG Hotel",5,9.1,301
Hilton Beirut Habtoor Grand Hotel,5,8.0,170
Royal Garden Hotel,4,6.3,65
M?venpick Hotel Beirut,5,7.7,270
Hotel De Ville,4,8.4,120
O Monot Boutique Hotel Beirut,5,8.4,160
The Mayflower Hotel,4,7.1,64
Hotel Cavalier,4,8.1,75
Urban Central Suites - Beirut,4,9.1,93
Saifi Suites,5,8.5,186
Royal Tulip Achrafieh,5,7.9,117
The J Hotel &amp; Spa,4,7.9,72
Lancaster Plaza Beirut,5,8.5,230
The Ray Hotel and Studios,4,8.0,103
Lancaster Tamar Hotel- Hadath,4,8.4,105
Hilton Beirut Metropolitan Palace Hotel,5,8.6,144
Warwick Stone 55 Hotel Beirut,4,8.4,115
Warwick Stone 55 Hotel Beirut,4,8.4,115
Radisson Blu Martinez Beirut,5,8.2,131
Villa Queens,3,7.1,70
Gefinor Rotana ? Beirut,5,8.2,110
Lancaster Raouche Hotel,4,7.9,145
Kempinski Summerland Hotel &amp; Resort Beirut,5,8.5,703
The Key Beirut,5,8.7,195
Citea Apart Hotel,4,9.0,96
Raouche Arjaan by Rotana,4,7.5,117
Arthaus Beirut,5,8.8,340
Gems Hotel,4,7.8,75
Bossa Nova Beirut Hotel,4,8.9,150
Lancaster Eden Bay,5,8.4,360
"Staybridge Suites Hotel, an IHG Hotel",5,8.5,171
Bayview Hotel Beirut,4,8.0,116
Lancaster Suites Raouche,4,8.9,155
Casa D'or Hotel,4,7.4,61
Le Royal Hotel - Beirut,5,8.5,234
Four Points By Sheraton Le Verdun,4,8.0,169
Imperial Suites Hotel,4,8.4,85
Warwick Palm Beach Hotel,4,7.0,122
Duroy Hotel,4,6.5,67
Padova Hotel,4,7.8,65
Serenada Golden Palace - Boutique Hotel,4,8.4,90
Midtown Hotel &amp; Suites,4,7.7,59
Hamra Urban Gardens,3,8.2,54
"Crowne Plaza Hamra Beirut, an IHG Hotel",5,7.2,131
Riviera Hotel Beirut,5,6.4,175
Promenade Hotel,4,7.4,125
Q Hotel,4,7.4,67
Plaza Hotel Beirut,4,7.7,90
Suite Hotel Chrome - Beirut,4,7.3,80
Bliss 3000 Furnished Studios,3,5.9,51
Queens Suite Hotel,4,7.1,203
